Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,spanish_text
1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",Fui la persona que hizo la transición en mi compañía del sistema KL5 al GR6.
2,You must’ve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",Debe haber tenido sus manos ocupadas.
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",Las tenía. Las tenía.
4,So let’s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",Hablemos un poco sobre su forma de obrar.
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",¿Obrar?OK.
6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337","Usted encabezará una división, debe tener una buena forma de obrar."
7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",Lo veo.
8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",Habrá 30 personas bajo usted......así que puede deshacerse de una cierta cantidad.
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",Bueno saberlo.
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",Podríamos ir por detalles...
11,No don’t I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858","No, no lo haga, se lo ruego."
12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324","Bueno. Le tendremos una respuesta definitiva para el Lunes.Pero, con confianza, puedo decirle que encajaría muy bien aquí."
13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",¿De veras? - Absolutamente.
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707","Puede relajarse. Lo hizo muy bien. - Sí, gracias."
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433","Hola, MÃ³nica"
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",Hola. Quieres saber algo que es una mierda?
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",Me muero de ganas.
27,Chris says they’re closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",Chris dice que van a cerrar el bar.
28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",No fastidies
29,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152","SÃ­, por lo visto, van a convertirlo en una especie de cafÃ©."
