Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,french_text
1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",Et j'ai été chargé de la coordination. . .pour le passage du système KL5 au GR6.
2,You must’ve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",Sacré boulot. . .
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",Effectivement.
4,So let’s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572","L'important, c'est d'être compétent."
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",Compétent ?
6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337","Vous dirigerez une équipe.ll faudra être compétent.Vous aurez trente subordonnés, alors vous pourrez ventiler."
7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",Je vois.
8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",Mais il y aura peut-être 30 personnes sous vous pour que vous puissiez leur jeter une certaine somme.
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",Bon à savoir.
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",Voyons les détails. . .
11,No don’t I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858","Non, surtout pas !"
12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",Très bien. . .Nous vous répondrons lundi.Mais je crois déjà pouvoir dire que vous avez le profil.
13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",C'est vrai ? - Absolument.
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",Détendez-vous. Et bravo.
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433","Mon, tu sais quoi?"
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",Tu veux entendre un sale truc ?
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",Tu me connais !
27,Chris says they’re closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",Le bar va fermer !
28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",Non !
29,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",Ils vont en faire une sorte de café.
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",Où on boit que du café ?Où on va aller ?
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",Bonne question !
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",Une bière.
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",T'as choisi ton coloc' ?
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",Ben tiens !
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",C'est l'Italien ?
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",C'est ça !
47,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891",Je suis là.
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",Je vous en prie.
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265",Que fais-tu là ?
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",Je viens souvent traîner par ici.
51,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",Je suis désolé.
52,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",Je vous salue.
53,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",Je vous salue.
54,How’d did it go?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",Comment ça s'est passé ?
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",La femme qui m'a reçue était sévère...mais Mark m'avait briefée.Je l'ai branchée sur la collection. Elle était ravie.
56,I’m so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",Je suis fier de toi.
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",Moi aussi.
58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584","Ecoute...Je regrette d'avoir été si énervé et jaloux.C'est parce que je t'aime, alors..."
59,I know.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794",Je sais.
60,Yeah.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380",- Je suis sûr.
61,Yeah.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057",- Je suis sûr.
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526","Beau travail, Joey ! Bravo ! lmpeccable !"
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",Ça t'a plu ?
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",Oui !
69,Which part exactly?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657","Quel passage, exactement ?"
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",Tout le truc ! Allons-y !
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",Donne-moi des détails.
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",J'ai adoré les détails. C'est la meilleure partie.
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",Et la scène avec le kangourou. . .Ça t'a plu ?
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",J'ai été surpris de voir un kangourou. . .pendant la guerre de 1 4-1 8.
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",Tu t'es endormi !
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",ll y a pas de kangourou !
77,They didn’t take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",lls ont refusé mes suggestions !
78,That’s for coming buddy.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",Merci d'être venu
79,I’ll see you later.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",A bientôt
80,Don’t go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",Ne t'en va pas. Excuse
81,I’m sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",moi !
82,I’m so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",Je suis désolé!
83,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407",Regardez!
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",Ce type s'est endormi!
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",ll s'est endormi aussi ! Engueule
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",le !
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",Ou appelle une ambulance.
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",On doit dire à Rachel qu'elle a gâché son dessert.
89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",Faut dire à Rachel qu'elle a tout raté.
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951",Mon dernier souhait
91,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204",c'est cette bague. Si on ne m'enterre pas avec. . .mon âme errera en enfer pour l'éternité.
92,"Okay, that’s enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706","Ça ira, chérie."
93,I don’t know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964",Je ne sais pas. . .Faites voir.
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964","Très bien, ici."
95,All right.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934",Mille fois merci !
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074","Merci, merci, merci, merci, merci, merci, merci, merci, merci, merci, merci, merci, merci, merci,"
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",Quoi de neuf ?
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",Toujours pareil.Prof d'aérobic...toujours fêtarde.
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",Si tu te posais la question...ce sont mes jambes sur l'affiche du dernier James Bond.
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758","Attends une seconde, j'ai un appel.Je l'aime !"
101,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",Je sais.
102,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",Je suis de retour.
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",Me revoilà. - On pourrait se voir ?
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",Absolument.Demain après-midi ?Au Central Perk ? Vers 17h ?
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",Super. A demain.
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528","Ca paie, d'avoir un téléphone."
