Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,greek_text
1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",Εγώ έκανα τη μετατροπή τής εταιρείας από ΚLS σε GR6.
2,You must’ve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",-Πρέπει να ήταν πολλή δουλειά. -'Ηταν. 'Ηταν.
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389",Αυτό έκανα.
4,So let’s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572",Ας μιλήσουμε λίγο για τα καθήκοντά σας.
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",Τα καθήκοντά μου;
6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337","Θα διευθύνετε ολόκληρο τμήμα, θα έχετε πολλά καθήκοντα."
7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886","- Ναι, καταλαβαίνω."
8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",Αλλά θα έχετε 30 υφισταμένους......μπορείτε να τους φορτώσετε.
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",-Χαίρομαι που το μαθαίνω. -Να πούμε λεπτομέρειες;
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",Μπορούμε να πάμε σε λεπτομέρειες
11,No don’t I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858","'Οχι, σας παρακαλώ!"
12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",Θα σας έχουμε οριστική απάντηση τη Δευτέρα.Αλλά νομίζω ότι μπορώ να πω με σιγουριά ότι θα ταιριάξετε καλά εδώ.
13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",-Αλήθεια; -Οπωσδήποτε.
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",Μπορείτε να χαλαρώσετε. Τα πήγατε θαυμάσια.
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433",Γεια σου Μον.
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",Θέλεις ν'ακούσεις κάτι απαίσιο;
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",- Δεν το κάνω ποτέ.
27,Chris says they’re closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",-Θα κλείσουν το μπαρ. -Αποκλείεται!
28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",- Δεν υπάρχει περίπτωση!
29,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",Θα το κάνουν καφετέρια.
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",Μονο για καφέ;-Πού θα πηγαίνουμε εμείς; -Δεν έχω ιδέα.
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",- Με έπιασε.
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",-Μπορώ να έχω μια μπύρα; -Διάλεξες συγκάτοικο;
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019","- Έι, διάλεξες συγκάτοικο;"
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",- Θα το κάνεις.
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",Τον Ιταλό;
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",Σιγά!
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450",Θεέ μου! Καημένη Μόνικα!
38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750","Τι, τι, τι;"
39,What?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966",Τι;
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",'Ηταν μαζί της όταν έγραψε αυτό το ποίημα.
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499","'''Ομορφό μου αγγείο, με τίποτα μέσα σου'';"
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586","''Τώρα που σε άγγιξα, μου φαίνεσαι ακόμα πιο άδειο'';"
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672",Βρίσκει τη Μόνικα κενή. Αυτή είναι το άδειο βάζ ο.
